#tyxml-html-schema format=1 generator=Gates.TyxmlSchema inputs=vendor/tyxml-d2916535/lib/html_types.mli,vendor/tyxml-d2916535/lib/html_sigs.mli,vendor/tyxml-d2916535/lib/html_f.ml input-sha256=0031c56d5bcc048b11ba47fd4d840235bfc52ced9722269510818c14004b3df3,5cf48b32cc19f4c9b400f388a749b1a8c0f4e5b058ae88e21ca568a899622f9b,4b777d7c2716e8e39c306a2c4018f3da7aee3bf7678ff3966bda6a441c793c57 rows=946 regenerate=lake exe tyxmlschema --write
#kind	file	line	span-sha256	module	name	params	body	attrs
type	lib/html_types.mli	1179	b30e5633b93ad2a431c47ac6fb938f138ffb01dcb3b0b77dc424ce83cfff231f		pcdata		[ `PCDATA ]	
type	lib/html_types.mli	1180	c67b71e7f84e284600920fc8c24fb6a683ca0a7c371eccfa2a120190797c157f		txt		[ `PCDATA ]	
type	lib/html_types.mli	1182	cc6f87b88ddb67e1f723c3d5d27f38205e567b37b816aafdd5f13269df202b26		notag		<abstract>	
type	lib/html_types.mli	1184	607277cde09678ea4afdeee4577673abd0ff6efa7397b892ba51de5f253d1898		no_attribute_allowed		<abstract>	
type	lib/html_types.mli	1186	9ba6c685f64185a5f8f0bcacd99c530638f6cf70ccfb87e0e68a59ad9a540f1a		noattrib		[ `No_attribute_allowed of no_attribute_allowed ]	
type	lib/html_types.mli	1188	b8774618ba8785690176e996b2811def9cd1a10323422c4d9af6ffe31305e142		html		[ `Html ]	
type	lib/html_types.mli	1190	a68e7a6b4dde4fe7d673ff770ac131c8e3672598f242940791cae5bba8fa3b6f		html_content_fun		[ `Head | `Body ]	
type	lib/html_types.mli	1192	ad89663afa2686a343ae6448a7c3f1e28bae3d7ca521e4a2eab41b51fa7af3b2		html_content		html_content_fun	
type	lib/html_types.mli	1194	c443761247ffdd977f8fcf98ea2024c3c6acb50d351270c555f27ea88c8c4c8e		html_attrib		[ common | `Manifest ]	
type	lib/html_types.mli	1196	b3189fff318132dd9bda97c454666e957cba3d40e88f1130f02a815cf8760fe7		head		[ `Head ]	
type	lib/html_types.mli	1198	3f8c3680fd998b199dbefc351546cf3158fea8d81c290a175d7af1e5d58649c4		head_content		[ metadata ]	
type	lib/html_types.mli	1200	f99576bc09a076cdf4e9112acc89f983b61688ca4576e9e21eee741f1c04f7f9		head_content_fun		[ metadata_without_title ]	
type	lib/html_types.mli	1202	31ec5611326322fbca7012588130bb08becbb677685c128c80d8c792faf1f2ea		head_attrib		[ common ]	
type	lib/html_types.mli	1204	d3ad2e497981964edca0c79117ccdfb628623e48f080674b49f583c78af2c17c		body		[ `Body ]	
